Time resolution is 1 ps
                   0clk = 0, s = x, rst = 1, Count = xx, address = xx, Control = xxxx, T = xxxxX, Inst = xx, A = x, B = x, Y = x
                4800clk = 0, s = 0, rst = 0, Count = 02, address = 02, Control = 0010, T = 00008, Inst = 22, A = 2, B = 2, Y = 2
                4850clk = 1, s = 0, rst = 0, Count = 02, address = 02, Control = 0000, T = 00040, Inst = 22, A = 2, B = 2, Y = 2
                4900clk = 0, s = 0, rst = 0, Count = 02, address = 02, Control = 0000, T = 00040, Inst = 22, A = 2, B = 2, Y = 2
                4950clk = 1, s = 0, rst = 0, Count = 02, address = 02, Control = 0100, T = 01000, Inst = 22, A = 2, B = 2, Y = 2
                5000clk = 0, s = 0, rst = 0, Count = 02, address = 02, Control = 0100, T = 01000, Inst = 22, A = 2, B = 2, Y = 2
                5050clk = 1, s = 0, rst = 0, Count = 02, address = 02, Control = 0002, T = 00002, Inst = 22, A = 2, B = 2, Y = 2
                5100clk = 0, s = 0, rst = 0, Count = 02, address = 02, Control = 0002, T = 00002, Inst = 22, A = 2, B = 2, Y = 2
                5150clk = 1, s = 0, rst = 0, Count = 02, address = 0Z, Control = 000d, T = 00004, Inst = 22, A = 2, B = 2, Y = 2
                5200clk = 0, s = 0, rst = 0, Count = 02, address = 0Z, Control = 000d, T = 00004, Inst = 22, A = 2, B = 2, Y = 2
                5250clk = 1, s = 0, rst = 0, Count = 02, address = 02, Control = 0010, T = 00008, Inst = 22, A = 2, B = 2, Y = 2
                5300clk = 0, s = 0, rst = 0, Count = 02, address = 02, Control = 0010, T = 00008, Inst = 22, A = 2, B = 2, Y = 2
