Time resolution is 1 ps
                 390s = 1, clk = 1, rst = 0, Count = 00, Address = zz, Inst = xx, Control = 8000, A = x, B = x, Y = x, Result = x, Store = z, Stat = z
                 400s = 1, clk = 0, rst = 0, Count = 00, Address = zz, Inst = xx, Control = 8000, A = x, B = x, Y = x, Result = x, Store = z, Stat = z
                 410s = 1, clk = 1, rst = 0, Count = 00, Address = zz, Inst = xx, Control = 8000, A = x, B = x, Y = x, Result = x, Store = z, Stat = z
                 420s = 1, clk = 0, rst = 0, Count = 00, Address = zz, Inst = xx, Control = 8000, A = x, B = x, Y = x, Result = x, Store = z, Stat = z
                 430s = 1, clk = 1, rst = 0, Count = 00, Address = zz, Inst = xx, Control = 8000, A = x, B = x, Y = x, Result = x, Store = z, Stat = z
                 440s = 1, clk = 0, rst = 0, Count = 00, Address = zz, Inst = xx, Control = 8000, A = x, B = x, Y = x, Result = x, Store = z, Stat = z
                 450s = 1, clk = 1, rst = 0, Count = 00, Address = zz, Inst = xx, Control = 8000, A = x, B = x, Y = x, Result = x, Store = z, Stat = z
                 460s = 1, clk = 0, rst = 0, Count = 00, Address = zz, Inst = xx, Control = 8000, A = x, B = x, Y = x, Result = x, Store = z, Stat = z
                 470s = 1, clk = 1, rst = 0, Count = 00, Address = zz, Inst = xx, Control = 8000, A = x, B = x, Y = x, Result = x, Store = z, Stat = z
                 480s = 1, clk = 0, rst = 0, Count = 00, Address = zz, Inst = xx, Control = 8000, A = x, B = x, Y = x, Result = x, Store = z, Stat = z
                 490s = 1, clk = 1, rst = 0, Count = 00, Address = zz, Inst = xx, Control = 8000, A = x, B = x, Y = x, Result = x, Store = z, Stat = z
                 500s = 0, clk = 0, rst = 0, Count = 00, Address = zz, Inst = xx, Control = 0000, A = x, B = x, Y = x, Result = x, Store = z, Stat = z
                 510s = 0, clk = 1, rst = 0, Count = 00, Address = zz, Inst = xx, Control = 0002, A = x, B = x, Y = x, Result = x, Store = z, Stat = z
                 520s = 0, clk = 0, rst = 0, Count = 00, Address = zz, Inst = xx, Control = 0002, A = x, B = x, Y = x, Result = x, Store = z, Stat = z
                 530s = 0, clk = 1, rst = 0, Count = 01, Address = zz, Inst = xx, Control = 000d, A = x, B = x, Y = x, Result = x, Store = z, Stat = z
                 540s = 0, clk = 0, rst = 0, Count = 01, Address = zz, Inst = xx, Control = 000d, A = x, B = x, Y = x, Result = x, Store = z, Stat = z
                 550s = 0, clk = 1, rst = 0, Count = 01, Address = zz, Inst = xx, Control = 0000, A = x, B = x, Y = x, Result = x, Store = z, Stat = z
                 560s = 0, clk = 0, rst = 0, Count = 01, Address = zz, Inst = xx, Control = 0000, A = x, B = x, Y = x, Result = x, Store = z, Stat = z
                 570s = 0, clk = 1, rst = 0, Count = 01, Address = zz, Inst = xx, Control = XXXX, A = x, B = x, Y = x, Result = x, Store = z, Stat = z
                 580s = 0, clk = 0, rst = 0, Count = 01, Address = zz, Inst = xx, Control = XXXX, A = x, B = x, Y = x, Result = x, Store = z, Stat = z
                 590s = 0, clk = 1, rst = 0, Count = 01, Address = zz, Inst = xx, Control = 0XXX, A = x, B = x, Y = x, Result = x, Store = x, Stat = z
                 600s = 0, clk = 0, rst = 0, Count = 01, Address = zz, Inst = xx, Control = 0XXX, A = x, B = x, Y = x, Result = x, Store = x, Stat = z
                 610s = 0, clk = 1, rst = 0, Count = 02, Address = zz, Inst = xx, Control = 000x, A = x, B = x, Y = x, Result = x, Store = z, Stat = z
                 620s = 0, clk = 0, rst = 0, Count = 02, Address = zz, Inst = xx, Control = 000x, A = x, B = x, Y = x, Result = x, Store = z, Stat = z
                 630s = 0, clk = 1, rst = 0, Count = 02, Address = zz, Inst = xx, Control = 000X, A = x, B = x, Y = x, Result = x, Store = z, Stat = z
                 640s = 0, clk = 0, rst = 0, Count = 02, Address = zz, Inst = xx, Control = 000X, A = x, B = x, Y = x, Result = x, Store = z, Stat = z
                 650s = 0, clk = 1, rst = 0, Count = 02, Address = zz, Inst = xx, Control = XXXX, A = x, B = x, Y = x, Result = x, Store = z, Stat = z
                 660s = 0, clk = 0, rst = 0, Count = 02, Address = zz, Inst = xx, Control = XXXX, A = x, B = x, Y = x, Result = x, Store = z, Stat = z
                 670s = 0, clk = 1, rst = 0, Count = 02, Address = zz, Inst = xx, Control = XxxX, A = x, B = x, Y = x, Result = x, Store = x, Stat = z
                 680s = 0, clk = 0, rst = 0, Count = 02, Address = zz, Inst = xx, Control = XxxX, A = x, B = x, Y = x, Result = x, Store = x, Stat = z
                 690s = 0, clk = 1, rst = 0, Count = 03, Address = zz, Inst = xx, Control = 0XXx, A = x, B = x, Y = x, Result = x, Store = x, Stat = z
                 700s = 0, clk = 0, rst = 0, Count = 03, Address = zz, Inst = xx, Control = 0XXx, A = x, B = x, Y = x, Result = x, Store = x, Stat = z
                 710s = 0, clk = 1, rst = 0, Count = 03, Address = zz, Inst = xx, Control = 000x, A = x, B = x, Y = x, Result = x, Store = z, Stat = z
                 720s = 0, clk = 0, rst = 0, Count = 03, Address = zz, Inst = xx, Control = 000x, A = x, B = x, Y = x, Result = x, Store = z, Stat = z
                 730s = 0, clk = 1, rst = 0, Count = 03, Address = zz, Inst = xx, Control = XXXx, A = x, B = x, Y = x, Result = x, Store = z, Stat = z
                 740s = 0, clk = 0, rst = 0, Count = 03, Address = zz, Inst = xx, Control = XXXx, A = x, B = x, Y = x, Result = x, Store = z, Stat = z
                 750s = 0, clk = 1, rst = 0, Count = 03, Address = zz, Inst = xx, Control = XxxX, A = x, B = x, Y = x, Result = x, Store = x, Stat = z
                 760s = 0, clk = 0, rst = 0, Count = 03, Address = zz, Inst = xx, Control = XxxX, A = x, B = x, Y = x, Result = x, Store = x, Stat = z
                 770s = 0, clk = 1, rst = 0, Count = 04, Address = zz, Inst = xx, Control = Xxxx, A = x, B = x, Y = x, Result = x, Store = x, Stat = z
                 780s = 0, clk = 0, rst = 0, Count = 04, Address = zz, Inst = xx, Control = Xxxx, A = x, B = x, Y = x, Result = x, Store = x, Stat = z
                 790s = 0, clk = 1, rst = 0, Count = 04, Address = zz, Inst = xx, Control = 0XXx, A = x, B = x, Y = x, Result = x, Store = x, Stat = z
                 800s = 0, clk = 0, rst = 0, Count = 04, Address = zz, Inst = xx, Control = 0XXx, A = x, B = x, Y = x, Result = x, Store = x, Stat = z
                 810s = 0, clk = 1, rst = 0, Count = 04, Address = zz, Inst = xx, Control = XXXx, A = x, B = x, Y = x, Result = x, Store = z, Stat = z
                 820s = 0, clk = 0, rst = 0, Count = 04, Address = zz, Inst = xx, Control = XXXx, A = x, B = x, Y = x, Result = x, Store = z, Stat = z
                 830s = 0, clk = 1, rst = 0, Count = 04, Address = zz, Inst = xx, Control = Xxxx, A = x, B = x, Y = x, Result = x, Store = x, Stat = z
                 840s = 0, clk = 0, rst = 0, Count = 04, Address = zz, Inst = xx, Control = Xxxx, A = x, B = x, Y = x, Result = x, Store = x, Stat = z
                 850s = 0, clk = 1, rst = 0, Count = 04, Address = zz, Inst = xx, Control = Xxxx, A = x, B = x, Y = x, Result = x, Store = x, Stat = z
